Id,Tables,Join Conditions,Predicates,Cardinality
17097,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,1,t.production_year,<,2008,ci.role_id,>,1",79519799
17098,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,>,1,t.production_year,>,2004,mc.company_type_id,>,1",777695
17099,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,=,7,t.production_year,>,2011,ci.person_id,<,2863152,ci.role_id,<,8,mi.info_type_id,<,4",297171
17100,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,>,4,t.production_year,<,1982,mi_idx.info_type_id,=,100",26057
17101,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,>,1,t.production_year,<,2009,mc.company_id,<,189466,mk.keyword_id,<,12015",2760973
17102,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.production_year,>,2007,mi_idx.info_type_id,>,99",207444
17103,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,7,t.production_year,<,2008,ci.person_id,>,1240822",8159457
17104,"title t,movie_keyword mk",t.id=mk.movie_id,"t.production_year,=,2000,mk.keyword_id,<,5300",58833
17105,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,=,3,t.production_year,>,2002,mk.keyword_id,>,5059",39988
17106,cast_info ci,,"ci.person_id,>,651601,ci.role_id,>,4",8490420
17107,movie_companies mc,,"mc.company_id,<,8",68077
17108,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,3,t.production_year,=,2002",441796
17109,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,=,7,t.production_year,>,2007",1745537
17110,cast_info ci,,"ci.person_id,<,3171183",31254296
17111,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,>,3,t.production_year,=,1957,mi.info_type_id,>,4",24424
17112,movie_keyword mk,,"mk.keyword_id,<,43812",4130348
17113,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,1,t.production_year,=,2000,mi.info_type_id,=,3",12223
17114,"title t,movie_info mi,movie_info_idx mi_idx","t.id=mi.movie_id,t.id=mi_idx.movie_id","t.production_year,=,1987",240867
17115,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mk.keyword_id,<,6443",19171534
17116,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.kind_id,>,1,t.production_year,>,1992,mc.company_type_id,=,2",12236962
17117,"title t,movie_info mi",t.id=mi.movie_id,"t.production_year,<,1979,mi.info_type_id,>,3",3291308
17118,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,>,1,ci.person_id,>,14195,ci.role_id,=,10",3333671
17119,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","ci.person_id,=,2440755,ci.role_id,>,1",87
17120,cast_info ci,,"ci.person_id,<,848300,ci.role_id,>,2",2400008
17121,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,>,0,ci.role_id,>,8",5653089
17122,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,>,2799090,ci.role_id,>,2",8970856
17123,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,>,2001,mc.company_id,<,1705,mc.company_type_id,=,1",526189
17124,cast_info ci,,"ci.person_id,>,2907102,ci.role_id,=,10",2919665
17125,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,=,6,t.production_year,<,2005,ci.person_id,>,2569964,ci.role_id,>,1",1219378
17126,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,<,7,t.production_year,>,2001",26502548
17127,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.person_id,=,617559",1811
17128,cast_info ci,,"ci.person_id,<,2931272,ci.role_id,>,1",16181415
17129,title t,,"t.kind_id,>,1,t.production_year,<,1992",404953
17130,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,<,2,mi_idx.info_type_id,>,101",39250
17131,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,>,1,t.production_year,>,1985,mc.company_id,=,17877",4
17132,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,7,t.production_year,=,2013,ci.person_id,=,529872,ci.role_id,<,10",15
17133,cast_info ci,,"ci.person_id,=,4036421",24
17134,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,<,7,mk.keyword_id,<,2488",11237281
17135,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,<,7,t.production_year,>,1958",837650
17136,movie_companies mc,,"mc.company_id,<,32244,mc.company_type_id,=,1",1208383
17137,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.kind_id,<,7,t.production_year,=,1988",619196
17138,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,>,2000,ci.person_id,<,3539933,mk.keyword_id,>,1129",60835951
17139,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,=,1967,ci.role_id,=,3,mk.keyword_id,>,1411",8922
17140,cast_info ci,,"ci.person_id,=,547305,ci.role_id,<,2",29
17141,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,>,3,t.production_year,>,1986,mc.company_id,<,14256",410293
17142,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,>,4,mi.info_type_id,=,7",6906513
17143,movie_keyword mk,,"mk.keyword_id,<,28716",3869148
17144,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,=,7,t.production_year,=,2010,mi.info_type_id,>,16",706528
17145,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,7,t.production_year,=,2006",174766
17146,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,3,t.production_year,>,2005",733277
17147,movie_keyword mk,,"mk.keyword_id,<,3666",2070661
17148,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","mk.keyword_id,>,745",183980584
17149,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,77480",19
17150,movie_keyword mk,,"mk.keyword_id,=,5654",398
17151,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","mi.info_type_id,=,18,mk.keyword_id,<,24674",8011851
17152,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,1,t.production_year,=,1994,mi.info_type_id,=,8",5848
17153,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,<,22641",8533830
17154,"title t,movie_keyword mk",t.id=mk.movie_id,"t.production_year,>,1973,mk.keyword_id,<,16264",2549567
17155,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,<,3912242,ci.role_id,=,1",12670688
17156,movie_keyword mk,,"mk.keyword_id,>,7344",1872345
17157,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,7,t.production_year,>,2010,mk.keyword_id,<,890",43232
17158,cast_info ci,,"ci.person_id,<,1402051",14237950
17159,"title t,movie_keyword mk",t.id=mk.movie_id,"mk.keyword_id,=,373",7419
17160,"title t,movie_info mi,movie_info_idx mi_idx","t.id=mi.movie_id,t.id=mi_idx.movie_id","t.production_year,=,1996,mi.info_type_id,<,8",139633
17161,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,<,7,t.production_year,>,2010,ci.person_id,>,1705750",1194299
17162,movie_keyword mk,,"mk.keyword_id,<,19118",3546692
17163,"title t,movie_keyword mk",t.id=mk.movie_id,"t.production_year,>,2003,mk.keyword_id,=,17697",5
17164,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.production_year,>,2008,mi.info_type_id,=,18,mk.keyword_id,<,9706",829940
17165,cast_info ci,,"ci.person_id,>,70948,ci.role_id,<,2",12177578
17166,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,1,t.production_year,<,2006,mc.company_type_id,=,1,mi_idx.info_type_id,>,100",361706
17167,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,<,2007,ci.person_id,=,1314103",237
17168,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,<,4,t.production_year,<,1959,ci.role_id,<,3,mi.info_type_id,>,3",22937551
17169,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,<,2004,ci.person_id,<,171497,ci.role_id,<,10,mk.keyword_id,>,7384",174100
17170,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","mc.company_type_id,=,1,mi.info_type_id,=,18",2008719
17171,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,7,t.production_year,<,2010,mi.info_type_id,>,18",110461
17172,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.production_year,=,1975",415755
17173,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,4226,mc.company_type_id,=,2",1814
17174,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,2,t.production_year,<,1989",4030534
17175,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,>,3,t.production_year,<,1978",102991
17176,cast_info ci,,"ci.person_id,=,1176375",691
17177,cast_info ci,,"ci.person_id,<,1980622,ci.role_id,>,1",7082748
17178,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.production_year,=,2005,mc.company_type_id,<,2",90171
17179,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.person_id,>,2748302,ci.role_id,<,7",36618731
17180,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,7,mk.keyword_id,=,703",450
17181,title t,,"t.kind_id,>,4,t.production_year,>,2004",743261
17182,movie_companies mc,,"mc.company_id,<,7500",1096781
17183,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,=,2013,mi.info_type_id,=,16",170895
17184,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,<,341,mc.company_type_id,>,1",108415
17185,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,2,t.production_year,<,2005,ci.person_id,>,1640528",337039
17186,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,=,3,t.production_year,<,1980,mc.company_type_id,>,1,mi.info_type_id,<,2",15745
17187,movie_keyword mk,,"mk.keyword_id,<,8469",2824679
17188,cast_info ci,,"ci.person_id,<,3060966,ci.role_id,=,3",3992215
17189,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","ci.person_id,=,2394523",81
17190,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,1,t.production_year,>,2011,mi.info_type_id,<,3",102953
17191,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.production_year,>,2012,mc.company_id,=,6,mc.company_type_id,=,2,ci.person_id,<,1204163",6
17192,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,6,t.production_year,=,2001,mi.info_type_id,=,6",92394
17193,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,<,2011,mi.info_type_id,>,18",54766186
17194,movie_companies mc,,"mc.company_id,>,122,mc.company_type_id,=,2",1275291
17195,movie_keyword mk,,"mk.keyword_id,<,13988",3250755
17196,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","ci.person_id,>,2336912,ci.role_id,>,2",66097820
17197,movie_keyword mk,,"mk.keyword_id,<,1048",1052856
17198,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,7,t.production_year,=,2001",11333
17199,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,>,1999,mi_idx.info_type_id,=,100",1490893
17200,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.production_year,=,2002,ci.person_id,<,786104,ci.role_id,>,9",20206
17201,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.production_year,=,1985",337580
17202,"title t,movie_info mi,movie_info_idx mi_idx","t.id=mi.movie_id,t.id=mi_idx.movie_id","t.production_year,>,1993,mi.info_type_id,=,8",775449
17203,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","ci.person_id,<,601750,ci.role_id,=,2,mk.keyword_id,<,2523",2837
17204,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","mc.company_type_id,=,1,mi.info_type_id,<,7",10319119
17205,movie_keyword mk,,"mk.keyword_id,<,18542",3523000
17206,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,>,2006",49837226
17207,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.production_year,>,1988,ci.person_id,=,284305",111
17208,movie_companies mc,,"mc.company_id,=,17761",84
17209,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,7,t.production_year,<,1970,mk.keyword_id,=,20684",8
17210,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,>,7777",4085541
17211,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,>,1,t.production_year,=,2010,mi_idx.info_type_id,<,101",22768
17212,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.production_year,=,1978,mc.company_type_id,<,2,mk.keyword_id,=,382",1124
17213,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","mk.keyword_id,<,7845",138840145
17214,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,7,ci.role_id,=,1,mk.keyword_id,=,3175",1127
17215,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","mi.info_type_id,>,98",7466769
17216,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,>,1,mi.info_type_id,>,4",9810843
17217,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,=,7,mk.keyword_id,=,576",147
17218,cast_info ci,,"ci.person_id,<,1845100,ci.role_id,<,8",16721571
17219,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,<,7,mi.info_type_id,>,8",3935275
17220,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.production_year,<,1987,mi_idx.info_type_id,<,100",3379711
17221,cast_info ci,,"ci.person_id,>,3327543",3987945
17222,movie_keyword mk,,"mk.keyword_id,>,875",3580349
17223,cast_info ci,,"ci.person_id,>,135110",34890619
17224,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,<,7,t.production_year,<,2012,mc.company_id,<,19687,mc.company_type_id,>,1",321832
17225,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,=,1,t.production_year,>,2003,mi.info_type_id,<,8,mk.keyword_id,>,335",15370947
17226,movie_keyword mk,,"mk.keyword_id,>,3658",2473213
17227,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,=,7,t.production_year,>,1977,mk.keyword_id,=,917",108
17228,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.production_year,<,2009,mc.company_id,>,140871,mi.info_type_id,=,4",96014
17229,movie_keyword mk,,"mk.keyword_id,>,5352",2157747
17230,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,>,1,t.production_year,<,2004,mc.company_id,<,33571,mc.company_type_id,<,2,mk.keyword_id,>,2440",964201
17231,cast_info ci,,"ci.person_id,<,2135871,ci.role_id,>,1",8475986
17232,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,<,1993",4286768
17233,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.production_year,>,1926,mi_idx.info_type_id,>,100",452697
17234,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.production_year,=,2011,ci.person_id,<,547119",630829
17235,movie_keyword mk,,"mk.keyword_id,=,4835",127
17236,movie_companies mc,,"mc.company_id,=,195069",1
17237,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,<,7,t.production_year,>,2001",11355232
17238,"title t,movie_keyword mk",t.id=mk.movie_id,"mk.keyword_id,<,1662",1286305
17239,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,>,1,t.production_year,=,2004,mi_idx.info_type_id,<,101",81352
17240,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,>,3,t.production_year,=,1974,mi_idx.info_type_id,>,99",6476
17241,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,<,7,t.production_year,<,2009",1537006
17242,movie_keyword mk,,"mk.keyword_id,<,89545",4449370
17243,cast_info ci,,"ci.person_id,>,2063977,ci.role_id,>,1",15728107
17244,cast_info ci,,"ci.person_id,>,2309972",13608133
17245,cast_info ci,,"ci.person_id,<,1415312,ci.role_id,>,2",3994097
17246,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,7,t.production_year,<,2003,mi.info_type_id,=,3",9676
17247,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,=,7,t.production_year,=,1984,mi_idx.info_type_id,=,99",1092
17248,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,>,4,t.production_year,=,2009",46194
17249,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,=,7,mi.info_type_id,<,18",5760471
17250,movie_keyword mk,,"mk.keyword_id,<,17854",3511143
17251,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.production_year,>,2008,ci.person_id,>,2210088,ci.role_id,=,4,mi.info_type_id,<,17",1892012
17252,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.production_year,>,1902,mi.info_type_id,<,16",35285949
17253,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,<,6,t.production_year,>,2011,mc.company_type_id,>,1",67410
17254,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.kind_id,<,7,t.production_year,<,2008,mc.company_id,<,11,ci.person_id,<,2803620",217463
17255,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,=,3,t.production_year,<,2011",586485
17256,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,7,t.production_year,>,1967,mc.company_type_id,=,2",316487
17257,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,93",6067
17258,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,<,1994,ci.person_id,=,538269",1
17259,movie_keyword mk,,"mk.keyword_id,=,576",1300
17260,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,=,7,t.production_year,>,2013,mc.company_id,>,741,mc.company_type_id,=,1,mi.info_type_id,>,3",1
17261,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,19,mc.company_type_id,>,1",5188
17262,cast_info ci,,"ci.person_id,<,3372132",32471980
17263,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,<,7,t.production_year,>,2013",22981
17264,movie_companies mc,,"mc.company_id,>,144894",122725
17265,movie_companies mc,,"mc.company_id,=,780",164
17266,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,>,3580674,ci.role_id,>,8",2472136
17267,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,>,2005,mi_idx.info_type_id,=,100",688646
17268,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,1,t.production_year,<,2007,mi.info_type_id,>,5",3877618
17269,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,7,t.production_year,=,1999,mc.company_id,<,66212",10884
17270,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.production_year,>,2008,mc.company_id,>,91978",1250542
17271,cast_info ci,,"ci.person_id,>,1158466,ci.role_id,=,10",3865732
17272,movie_keyword mk,,"mk.keyword_id,>,2887",2742453
17273,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,7,t.production_year,<,2007,ci.role_id,>,8",1297541
17274,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,>,1,t.production_year,=,1985",61356
17275,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mc.company_id,<,114948,mc.company_type_id,>,1,mk.keyword_id,=,9980",1976
17276,movie_keyword mk,,"mk.keyword_id,=,4192",1245
17277,movie_companies mc,,"mc.company_id,>,2086,mc.company_type_id,<,2",684811
17278,"title t,movie_companies mc",t.id=mc.movie_id,"t.production_year,<,1964,mc.company_id,<,48041,mc.company_type_id,<,2",286799
17279,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.production_year,<,1915,mc.company_type_id,=,2",12390
17280,title t,,"t.kind_id,<,2,t.production_year,<,2001",382296
17281,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,<,2012,mi_idx.info_type_id,>,101",38244
17282,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.production_year,>,2001,mc.company_id,<,71013,mc.company_type_id,>,1",430966
17283,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,=,7,mc.company_id,<,181,mi.info_type_id,=,16",429571
17284,"title t,movie_keyword mk",t.id=mk.movie_id,"mk.keyword_id,<,359",472545
17285,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.production_year,>,1978,ci.person_id,>,399434,ci.role_id,=,3",6515953
17286,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.production_year,=,2009,mc.company_id,=,7214",4
17287,title t,,"t.kind_id,<,4,t.production_year,>,2007",226985
17288,title t,,"t.kind_id,<,3,t.production_year,=,2003",13840
17289,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,2,t.production_year,=,2008,mi.info_type_id,=,18,mk.keyword_id,>,25327",71998
17290,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,=,7,ci.person_id,=,1011381,ci.role_id,=,1,mi.info_type_id,>,7",14
17291,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,3,mc.company_type_id,<,2",88090
17292,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,>,1,mk.keyword_id,>,486",1372397
17293,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,>,4,t.production_year,<,1989",170359
17294,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,1,t.production_year,=,1964,mc.company_id,>,7457,mc.company_type_id,<,2",47880
17295,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,<,7,t.production_year,<,1986",88230610
17296,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,>,3,t.production_year,<,2011,mi_idx.info_type_id,>,99,mk.keyword_id,=,4575",158
17297,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,<,2011",9883874
17298,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","ci.person_id,=,1957011,mk.keyword_id,<,21711",4
17299,cast_info ci,,"ci.person_id,>,4039387,ci.role_id,>,3",143563
17300,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,7,t.production_year,=,2008,ci.person_id,>,2394913",555339
17301,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,>,1,t.production_year,>,1994,ci.person_id,>,1674510",56193260
17302,movie_keyword mk,,"mk.keyword_id,<,2101",1470894
17303,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,<,7,t.production_year,<,2012",58892511
17304,movie_keyword mk,,"mk.keyword_id,>,36737",489542
17305,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,>,2012,ci.role_id,=,3",146461
17306,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.kind_id,>,1,ci.role_id,>,3",12872690
17307,movie_companies mc,,"mc.company_id,>,20787,mc.company_type_id,<,2",126073
17308,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,<,7738",6287810
17309,"title t,movie_keyword mk",t.id=mk.movie_id,"t.production_year,<,2008,mk.keyword_id,>,12961",1043834
17310,"title t,movie_info mi",t.id=mi.movie_id,"t.production_year,<,1964,mi.info_type_id,<,75",2788084
17311,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,>,1347,mc.company_type_id,>,1",1127999
17312,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,>,1921",35450613
17313,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mi_idx.info_type_id,>,99,mk.keyword_id,>,3576",3900526
17314,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","ci.person_id,<,918471,mk.keyword_id,=,2197",27267
17315,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,>,1,t.production_year,>,1897",46730565
17316,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,7,t.production_year,>,1978,mk.keyword_id,<,13597",1954319
17317,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,1,mc.company_id,>,312,mc.company_type_id,=,2,mk.keyword_id,=,10149",1890
